,wordone,wordtwo,mean,sim,LCS
0,car,automobile,3.92,4.0,car
1,gem,jewel,3.84,4.0,gemstone
2,journey,voyage,3.84,0.72,travel
3,boy,lad,3.76,4.0,boy
4,coast,shore,3.7,4.0,bank
5,asylum,madhouse,3.61,4.0,psychiatric hospital
6,magician,wizard,3.5,4.0,magician in fantasy
7,midday,noon,3.42,4.0,noon
8,furnace,stove,3.11,0.22,construction
9,food,fruit,3.08,0.83,food
10,bird,cock,3.05,0.8,bird
11,bird,crane,2.97,0.25,equipment
12,tool,implement,2.95,4.0,tool
13,brother,monk,2.82,1.43,monk
14,lad,brother,1.66,0.65,male human
15,crane,implement,1.68,0.63,tool
16,journey,car,1.16,3.88,travel
17,monk,oracle,1.1,0.24,occupation
18,cemetery,woodland,0.95,0.27,geographical object
19,food,rooster,0.89,0.27,part
20,coast,hill,0.87,0.4,physico-geographical object
21,forest,graveyard,0.84,0.44,geographical object
22,shore,woodland,0.63,0.21,geographical object
23,monk,slave,0.55,0.22,position
24,coast,forest,0.42,0.25,natural geographic object
25,lad,wizard,0.42,0.14,person
26,chord,smile,0.13,0.24,industry
27,glass,magician,0.11,0.17,entity
28,rooster,voyage,0.08,0.14,Wikidata metaclass
29,noon,string,0.01,0.13,concept
