,wordone,wordtwo,mean,sim,LCS
0,car,automobile,3.92,4.0,car
1,gem,jewel,3.84,4.0,gemstone
2,journey,voyage,3.84,3.17,travel
3,boy,lad,3.76,4.0,boy
4,coast,shore,3.7,4.0,bank
5,asylum,madhouse,3.61,4.0,psychiatric hospital
6,magician,wizard,3.5,4.0,magician in fantasy
7,midday,noon,3.42,4.0,noon
8,furnace,stove,3.11,1.17,construction
9,food,fruit,3.08,3.24,food
10,bird,cock,3.05,3.42,heraldic bird
11,bird,crane,2.97,1.92,equipment
12,tool,implement,2.95,4.0,tool
13,brother,monk,2.82,3.73,monk
14,lad,brother,1.66,3.33,male human
15,crane,implement,1.68,2.89,tool
16,journey,car,1.16,3.99,travel
17,monk,oracle,1.1,1.53,occupation
18,cemetery,woodland,0.95,1.06,geographical object
19,food,rooster,0.89,1.76,part
20,coast,hill,0.87,1.57,physico-geographical object
21,forest,graveyard,0.84,1.54,geographical object
22,shore,woodland,0.63,0.86,geographical object
23,monk,slave,0.55,1.46,position
24,coast,forest,0.42,1.11,natural geographic object
25,lad,wizard,0.42,0.26,person
26,chord,smile,0.13,1.82,industry
27,glass,magician,0.11,0.24,agent
28,rooster,voyage,0.08,0.07,Wikidata metaclass
29,noon,string,0.01,0.07,concept
