,wordone,wordtwo,mean,sim,LCS
0,car,automobile,3.92,4.0,car
1,gem,jewel,3.84,4.0,gemstone
2,journey,voyage,3.84,3.5,travel
3,boy,lad,3.76,4.0,boy
4,coast,shore,3.7,4.0,bank
5,asylum,madhouse,3.61,4.0,psychiatric hospital
6,magician,wizard,3.5,4.0,magician in fantasy
7,midday,noon,3.42,4.0,noon
8,furnace,stove,3.11,3.72,stove
9,food,fruit,3.08,3.44,food
10,bird,cock,3.05,3.76,heraldic bird
11,bird,crane,2.97,3.24,bird
12,tool,implement,2.95,4.0,tool
13,brother,monk,2.82,3.76,monk
14,lad,brother,1.66,3.46,male human
15,crane,implement,1.68,2.51,device
16,journey,car,1.16,3.5,travel
17,monk,oracle,1.1,1.89,occupation
18,cemetery,woodland,0.95,0.87,territorial entity
19,food,rooster,0.89,1.74,fodder
20,coast,hill,0.87,1.96,landform
21,forest,graveyard,0.84,0.78,territorial entity
22,shore,woodland,0.63,0.89,geographical object
23,monk,slave,0.55,2.54,social class
24,coast,forest,0.42,0.83,human settlement
25,lad,wizard,0.42,0.79,person
26,chord,smile,0.13,1.12,art form
27,glass,magician,0.11,0.78,human activity
28,rooster,voyage,0.08,1.6,motion
29,noon,string,0.01,1.48,object of group
