,wordone,wordtwo,mean,wpath,LCS
0,car,automobile,3.92,4.0,car
1,gem,jewel,3.84,4.0,gemstone
2,journey,voyage,3.84,2.0,travel
3,boy,lad,3.76,4.0,boy
4,coast,shore,3.7,4.0,bank
5,asylum,madhouse,3.61,4.0,psychiatric hospital
6,magician,wizard,3.5,4.0,magician in fantasy
7,midday,noon,3.42,4.0,noon
8,furnace,stove,3.11,2.0,stove
9,food,fruit,3.08,2.0,food
10,bird,cock,3.05,2.0,heraldic bird
11,bird,crane,2.97,1.0,bird
12,tool,implement,2.95,4.0,tool
13,brother,monk,2.82,2.0,monk
14,lad,brother,1.66,1.33,male human
15,crane,implement,1.68,1.33,tool
16,journey,car,1.16,2.0,travel
17,monk,oracle,1.1,1.0,occupation
18,cemetery,woodland,0.95,0.5,territorial entity
19,food,rooster,0.89,0.44,fodder
20,coast,hill,0.87,1.33,landform
21,forest,graveyard,0.84,0.44,territorial entity
22,shore,woodland,0.63,0.67,geographical object
23,monk,slave,0.55,0.57,social class
24,coast,forest,0.42,0.5,human settlement
25,lad,wizard,0.42,0.67,person
26,chord,smile,0.13,0.44,art form
27,glass,magician,0.11,0.5,agent
28,rooster,voyage,0.08,0.36,motion
29,noon,string,0.01,0.4,goods
