,wordone,wordtwo,mean,sim,LCS
0,gem,jewel,3.94,51.78,gemstone
1,midday,noon,3.94,66.91,noon
2,automobile,car,3.92,35.35,car
3,cemetery,graveyard,3.88,26.15,cemetery
4,cushion,pillow,3.84,53.58,cushion
5,boy,lad,3.82,61.37,boy
6,cock,rooster,3.68,66.91,rooster
7,implement,tool,3.66,28.96,tool
8,forest,woodland,3.65,16.55,territorial entity
9,coast,shore,3.6,58.12,bank
10,autograph,signature,3.59,58.12,signature
11,journey,voyage,3.58,35.22,travel
12,serf,slave,3.46,53.05,enslaved person
13,grin,smile,3.46,62.52,smile
14,glass,tumbler,3.45,46.54,drinking vessel
15,cord,string,3.41,64.14,signature
16,hill,mound,3.29,10.54,geographic entity
17,magician,wizard,3.21,58.12,magician
18,furnace,stove,3.11,28.96,tool
19,asylum,madhouse,3.04,42.98,psychiatric hospital
20,brother,monk,2.74,50.16,monk
21,food,fruit,2.69,33.04,food
22,bird,cock,2.63,50.16,heraldic bird
23,bird,crane,2.63,28.86,equipment
24,oracle,sage,2.61,1.47,first-order metaclass
25,sage,wizard,2.46,45.41,character type
26,brother,lad,2.41,51.11,male human
27,crane,implement,2.37,28.96,tool
28,magician,oracle,1.82,20.1,occupation
29,glass,jewel,1.78,32.23,base material
30,cemetery,mound,1.69,15.2,construction
31,car,journey,1.55,35.22,travel
32,hill,woodland,1.48,10.54,geographic entity
33,crane,rooster,1.41,2.78,taxon
34,furnace,implement,1.37,28.96,tool
35,coast,hill,1.26,12.3,landform
36,bird,woodland,1.24,0.92,metaclass
37,shore,voyage,1.22,3.22,physical object
38,cemetery,woodland,1.18,10.56,geographical object
39,food,rooster,1.09,4.14,organism
40,forest,graveyard,1.0,10.56,geographical object
41,lad,wizard,0.99,4.11,person
42,mound,shore,0.97,10.56,geographical object
43,automobile,cushion,0.97,3.33,activity
44,boy,sage,0.96,2.78,taxon
45,monk,oracle,0.91,20.1,occupation
46,shore,woodland,0.9,10.56,geographical object
47,grin,lad,0.88,1.47,concept
48,coast,forest,0.85,12.19,natural geographic object
49,asylum,cemetery,0.79,15.27,architectural structure
50,monk,slave,0.57,20.4,position
51,cushion,jewel,0.45,1.47,first-order metaclass
52,boy,rooster,0.44,47.57,sex
53,glass,magician,0.44,4.04,agent
54,graveyard,madhouse,0.44,11.1,geographic location
55,asylum,monk,0.39,1.47,concept
56,asylum,fruit,0.19,23.98,economic sector
57,grin,implement,0.18,17.57,economic concept
58,mound,stove,0.14,15.2,construction
59,automobile,wizard,0.11,3.33,activity
60,autograph,shore,0.06,3.22,physical object
61,fruit,furnace,0.05,41.83,charge
62,noon,string,0.04,3.3,temporal entity
63,rooster,voyage,0.04,1.47,Wikidata metaclass
64,cord,smile,0.02,64.14,signature
