,wordone,wordtwo,mean,sim,LCS
0,wife,husband,2.3,8.47,affinity
1,book,text,6.35,2.29,text
2,groom,bride,3.17,0.06,Wikidata metaclass
3,night,day,1.88,5.49,day
4,south,north,2.2,9.11,cardinal direction
5,plane,airport,3.65,1.9,geometric concept
6,uncle,aunt,5.5,6.82,kinship
7,horse,mare,8.33,6.97,horse
8,bottom,top,0.7,9.37,down and up
9,friend,buddy,8.78,6.56,companionship
10,student,pupil,9.35,10.0,student
11,world,globe,6.67,0.04,abstract object
12,leg,arm,2.88,8.59,anatomical region
13,plane,jet,8.1,9.3,powered aircraft
14,woman,man,3.33,9.4,gender identity
15,horse,colt,7.07,6.84,horse
16,actress,actor,7.12,10.0,actor
17,teacher,instructor,9.25,6.17,educator
18,movie,film,8.87,10.0,film
19,bird,hawk,7.85,1.29,polyphyletic common name
20,word,dictionary,3.68,0.61,written work
21,money,salary,7.88,0.04,term
22,dog,cat,1.75,1.92,polyphyletic common name
23,area,region,9.47,10.0,zone
24,navy,army,6.43,8.81,military branch
25,book,literature,7.53,1.17,text
26,clothes,closet,3.27,0.5,product
27,sunset,sunrise,2.47,3.39,day
28,child,adult,2.98,1.86,organism
29,cow,cattle,9.52,10.0,cattle
30,book,story,5.63,0.73,text
31,winter,summer,2.38,3.82,recurring event
32,taxi,cab,9.2,10.0,taxi
33,tree,maple,5.53,6.39,charge
34,bed,bedroom,3.4,8.36,sleeping place
35,roof,ceiling,7.58,15.98,sense
36,disease,infection,7.15,8.15,disease
37,arm,shoulder,4.85,7.93,anatomical region
38,sheep,lamb,8.42,8.84,domestic sheep
39,lady,gentleman,3.42,8.24,adult
40,boat,anchor,2.25,0.23,artificial physical object
41,priest,monk,6.28,8.19,religious occupation
42,toe,finger,4.68,8.93,autopod region
43,river,stream,7.3,10.0,watercourse
44,anger,fury,8.73,0.06,psychology terminology
45,date,calendar,4.42,6.38,calendar date
46,sea,ocean,8.27,1.73,geographic location
47,second,minute,4.62,9.8,second
48,hand,thumb,3.88,9.32,hand
49,wood,log,7.3,6.23,tree
50,mud,dirt,7.32,1.8,base material
51,hallway,corridor,9.28,10.0,corridor
52,way,manner,7.62,10.0,means
53,mouse,cat,1.12,1.57,polyphyletic common name
54,cop,sheriff,9.05,8.73,law enforcement officer
55,death,burial,4.93,0.09,occurrence
56,music,melody,6.98,5.05,musical work
