,wordone,wordtwo,mean,sim,LCS
0,wife,husband,2.3,3.33,affinity
1,book,text,6.35,5.0,text
2,groom,bride,3.17,1.11,Wikidata metaclass
3,night,day,1.88,5.0,day
4,south,north,2.2,3.33,cardinal direction
5,plane,airport,3.65,1.25,entity
6,uncle,aunt,5.5,3.33,kinship
7,horse,mare,8.33,5.0,horse
8,bottom,top,0.7,3.33,down and up
9,friend,buddy,8.78,2.5,human
10,student,pupil,9.35,10.0,student
11,world,globe,6.67,2.0,model
12,leg,arm,2.88,3.33,anatomical region
13,plane,jet,8.1,3.33,powered aircraft
14,woman,man,3.33,3.33,adult
15,horse,colt,7.07,5.0,horse
16,actress,actor,7.12,10.0,actor
17,teacher,instructor,9.25,5.0,educator
18,movie,film,8.87,10.0,film
19,bird,hawk,7.85,1.67,class
20,word,dictionary,3.68,2.0,written work
21,money,salary,7.88,1.11,term
22,dog,cat,1.75,3.33,polyphyletic common name
23,area,region,9.47,10.0,zone
24,navy,army,6.43,3.33,military branch
25,book,literature,7.53,2.5,text
26,clothes,closet,3.27,2.5,product
27,sunset,sunrise,2.47,3.33,day
28,child,adult,2.98,3.33,human
29,cow,cattle,9.52,10.0,cattle
30,book,story,5.63,2.5,text
31,winter,summer,2.38,3.33,recurring event
32,taxi,cab,9.2,10.0,taxi
33,tree,maple,5.53,2.0,class
34,bed,bedroom,3.4,3.33,sleeping place
35,roof,ceiling,7.58,3.33,architectural element
36,disease,infection,7.15,5.0,disease
37,arm,shoulder,4.85,3.33,anatomical region
38,sheep,lamb,8.42,5.0,domestic sheep
39,lady,gentleman,3.42,2.5,adult
40,boat,anchor,2.25,2.0,first-order metaclass
41,priest,monk,6.28,3.33,religious occupation
42,toe,finger,4.68,2.0,autopod region
43,river,stream,7.3,10.0,watercourse
44,anger,fury,8.73,3.33,psychology terminology
45,date,calendar,4.42,5.0,calendar date
46,sea,ocean,8.27,3.33,geographic location
47,second,minute,4.62,5.0,second
48,hand,thumb,3.88,5.0,hand
49,wood,log,7.3,3.33,tree
50,mud,dirt,7.32,2.0,base material
51,hallway,corridor,9.28,10.0,corridor
52,way,manner,7.62,10.0,means
53,mouse,cat,1.12,3.33,polyphyletic common name
54,cop,sheriff,9.05,3.33,profession
55,death,burial,4.93,2.5,occurrence
56,music,melody,6.98,5.0,musical work
57,beer,alcohol,7.5,2.5,chemical substance
58,mouth,lip,7.1,2.5,subdivision of face
59,storm,hurricane,6.38,3.33,meteorological disaster
60,tax,income,2.38,2.0,academic discipline
61,flower,violet,6.95,1.43,anatomical structure
62,paper,cardboard,5.38,5.0,paper
63,floor,ceiling,1.73,3.33,architectural element
64,beach,seashore,8.33,3.33,shore
65,rod,curtain,3.03,1.43,artificial entity
66,hound,fox,2.38,2.0,polyphyletic common name
67,street,alley,5.48,5.0,street
68,boat,deck,4.28,2.5,watercraft
69,car,horn,2.57,2.5,transport
70,friend,guest,4.25,1.67,subject
71,employer,employee,3.65,1.43,concept
72,hand,wrist,3.97,2.5,free upper limb segment
73,ball,cannon,2.58,1.43,class
74,alcohol,brandy,6.98,2.0,Q24700923
75,victory,triumph,8.98,5.0,victory
76,telephone,booth,3.63,1.25,work
77,door,doorway,5.4,10.0,doorway
78,motel,inn,8.17,2.5,hotel building
79,clothes,cloth,5.47,3.33,clothing
80,steak,meat,7.47,3.33,food
81,nail,thumb,3.55,2.0,anatomical structure
82,band,orchestra,7.08,3.33,musical group
83,book,bible,5.0,3.33,text
84,business,industry,7.02,5.0,economic branch
85,winter,season,6.27,5.0,season
86,decade,century,3.48,5.0,decade
87,alcohol,gin,8.65,1.67,Q24700923
88,hat,coat,2.67,2.0,clothing
89,window,door,3.33,5.0,window
90,arm,wrist,3.57,1.67,subdivision of cardinal body part
91,house,apartment,5.8,2.5,house
92,glass,crystal,6.27,3.33,solid
93,wine,brandy,5.15,3.33,alcoholic beverage
94,creator,maker,9.62,1.43,concept
95,dinner,breakfast,3.33,3.33,meals
96,arm,muscle,3.72,2.5,anatomical structure
97,bubble,suds,8.57,1.43,physical system
98,bread,flour,3.33,5.0,flour
99,death,tragedy,5.8,2.5,occurrence
100,absence,presence,0.4,2.5,philosophical concept
101,gun,cannon,5.68,2.5,weapon family
102,grass,blade,4.57,1.67,first-order metaclass
103,ball,basket,1.67,3.33,sports equipment
104,hose,garden,1.67,2.0,artificial entity
105,boy,kid,7.5,5.0,child
106,church,choir,2.95,5.0,church building
107,clothes,drawer,3.02,2.5,product
108,tower,bell,1.9,3.33,bell tower
109,father,parent,7.07,5.0,parent
110,school,grade,4.42,1.67,first-order metaclass
111,parent,adult,5.37,2.0,entity
112,bar,jail,1.9,2.0,facility
113,car,highway,3.4,1.67,classification system
114,dictionary,definition,6.25,2.0,written work
115,door,cellar,1.97,2.0,architectural element
116,army,legion,5.95,3.33,army
117,metal,aluminum,7.25,3.33,base material
118,chair,bench,6.67,10.0,seat
119,cloud,fog,6.0,2.5,cloud
120,boy,son,6.75,3.33,male human
121,water,ice,6.47,10.0,ice
122,bed,blanket,3.02,3.33,sleep
123,attorney,lawyer,9.35,10.0,lawyer
124,area,zone,8.33,10.0,level
125,business,company,9.02,5.0,company
126,clothes,fabric,5.87,5.0,clothing
127,sweater,jacket,7.15,2.0,clothing
128,money,capital,6.67,2.0,economic concept
129,hand,foot,4.17,3.33,autopod region
130,alcohol,cocktail,6.73,2.0,Q24700923
131,yard,inch,3.78,3.33,unit of length
132,molecule,atom,6.45,5.0,atom
133,lens,camera,4.28,2.5,objective
134,meal,dinner,7.15,5.0,meals
135,eye,tear,3.55,1.67,first-order metaclass
136,god,devil,1.8,3.33,deity
137,loop,belt,3.1,2.5,concept
138,rat,mouse,7.78,3.33,taxon
139,motor,engine,8.65,10.0,engine
140,car,cab,7.42,5.0,taxi
141,cat,lion,6.75,2.5,list
142,size,magnitude,6.33,10.0,magnitude
143,reality,fantasy,1.03,2.5,concept
144,door,gate,5.25,3.33,device
145,cat,pet,5.95,5.0,pet
146,tin,aluminum,6.42,3.33,chemical element
147,bone,jaw,4.17,2.5,animal organ
148,cereal,wheat,3.75,5.0,cereal
149,house,key,1.9,2.0,tool
150,blood,flesh,4.28,2.5,tissue
151,door,corridor,3.73,1.67,architectural element
152,god,spirit,7.3,3.33,abstract being
153,capability,competence,7.62,3.33,capability
154,abundance,plenty,8.97,1.43,measure
155,sofa,chair,6.67,5.0,seat
156,wall,brick,4.68,1.67,artificial physical object
157,horn,drum,2.68,2.0,class of instruments
158,organ,liver,6.15,3.33,organ
159,strength,might,7.07,1.67,visual artwork
160,phrase,word,5.48,5.0,phrase
161,band,parade,3.92,1.11,occurrence
162,stomach,waist,5.9,2.0,anatomical structure
163,cloud,storm,5.6,2.5,natural phenomenon
164,joy,pride,5.0,3.33,emotion
165,noise,rattle,6.17,1.67,music
166,rain,mist,5.97,5.0,rain
167,beer,beverage,5.42,3.33,drink
168,man,uncle,3.92,2.0,social group
169,apple,juice,2.88,3.33,fruit
170,intelligence,logic,6.5,2.0,cognition
171,communication,language,7.47,5.0,communication
172,mink,fur,6.83,1.67,Wikidata metaclass
173,mob,crowd,7.85,10.0,crowd
174,shore,coast,8.83,10.0,bank
175,wire,cord,7.62,3.33,cord
176,bird,turkey,6.58,3.33,taxon
177,bed,crib,7.3,5.0,bed
178,competence,ability,7.5,3.33,capability
179,cloud,haze,7.32,3.33,natural phenomenon
180,supper,meal,7.53,5.0,meals
181,bar,cage,2.8,1.43,architectural structure
182,water,salt,1.3,3.33,chemical compound
183,sense,intuition,7.68,3.33,psychology terminology
184,situation,condition,6.58,5.0,condition
185,crime,theft,7.53,3.33,crime
186,style,fashion,8.5,3.33,culture
187,boundary,border,9.08,10.0,border
