,wordone,wordtwo,mean,sim,LCS
0,wife,husband,2.3,115.22,affinity
1,book,text,6.35,6.88,text
2,groom,bride,3.17,1.09,Wikidata metaclass
3,night,day,1.88,58.83,day
4,south,north,2.2,164.29,cardinal direction
5,plane,airport,3.65,20.89,geometric concept
6,uncle,aunt,5.5,110.79,kinship
7,horse,mare,8.33,87.97,horse
8,bottom,top,0.7,162.46,down and up
9,friend,buddy,8.78,112.01,companionship
10,student,pupil,9.35,180.38,school child
11,world,globe,6.67,0.55,model
12,leg,arm,2.88,127.4,anatomical region
13,plane,jet,8.1,121.38,powered aircraft
14,woman,man,3.33,126.77,gender identity
15,horse,colt,7.07,87.97,horse
16,actress,actor,7.12,162.46,television actor
17,teacher,instructor,9.25,71.84,teacher
18,movie,film,8.87,54.75,film
19,bird,hawk,7.85,23.24,polyphyletic common name
20,word,dictionary,3.68,6.85,written work
21,money,salary,7.88,0.52,term
22,dog,cat,1.75,23.24,polyphyletic common name
23,area,region,9.47,166.52,chigu of North Korea
24,navy,army,6.43,109.05,military branch
25,book,literature,7.53,6.88,text
26,clothes,closet,3.27,5.54,product
27,sunset,sunrise,2.47,58.83,day
28,child,adult,2.98,23.31,human
29,cow,cattle,9.52,131.71,cattle
30,book,story,5.63,6.88,text
31,winter,summer,2.38,61.04,recurring event
32,taxi,cab,9.2,101.41,taxi
33,tree,maple,5.53,110.76,charge
34,bed,bedroom,3.4,113.22,sleeping place
35,roof,ceiling,7.58,180.38,sense
36,disease,infection,7.15,76.76,disease
37,arm,shoulder,4.85,127.4,anatomical region
38,sheep,lamb,8.42,143.01,domestic sheep
39,lady,gentleman,3.42,122.01,adult
40,boat,anchor,2.25,3.32,artificial physical object
41,priest,monk,6.28,112.72,religious occupation
42,toe,finger,4.68,141.67,autopod region
43,river,stream,7.3,47.5,natural watercourse
44,anger,fury,8.73,1.11,psychology terminology
45,date,calendar,4.42,58.85,calendar date
46,sea,ocean,8.27,24.25,geographic location
47,second,minute,4.62,166.52,second
48,hand,thumb,3.88,145.42,hand
49,wood,log,7.3,74.49,tree
50,mud,dirt,7.32,30.27,base material
51,hallway,corridor,9.28,151.48,corridor
52,way,manner,7.62,64.63,means
