,wordone,wordtwo,mean,sim,LCS
0,wife,husband,2.3,6.27,affinity
1,book,text,6.35,5.18,text
2,groom,bride,3.17,1.12,Wikidata metaclass
3,night,day,1.88,6.5,day
4,south,north,2.2,7.38,cardinal direction
5,plane,airport,3.65,1.51,geometric concept
6,uncle,aunt,5.5,6.16,kinship
7,horse,mare,8.33,7.16,horse
8,bottom,top,0.7,7.35,down and up
9,friend,buddy,8.78,4.49,companionship
10,student,pupil,9.35,10.0,student
11,world,globe,6.67,2.01,model
12,leg,arm,2.88,6.57,anatomical region
13,plane,jet,8.1,6.42,powered aircraft
14,woman,man,3.33,6.55,gender identity
15,horse,colt,7.07,7.16,horse
16,actress,actor,7.12,10.0,actor
17,teacher,instructor,9.25,6.81,educator
18,movie,film,8.87,10.0,film
19,bird,hawk,7.85,2.03,polyphyletic common name
20,word,dictionary,3.68,2.12,written work
21,money,salary,7.88,1.12,term
22,dog,cat,1.75,3.9,polyphyletic common name
23,area,region,9.47,10.0,zone
24,navy,army,6.43,6.12,military branch
25,book,literature,7.53,2.64,text
26,clothes,closet,3.27,2.61,product
27,sunset,sunrise,2.47,4.82,day
28,child,adult,2.98,3.9,human
29,cow,cattle,9.52,10.0,cattle
30,book,story,5.63,2.64,text
31,winter,summer,2.38,4.88,recurring event
32,taxi,cab,9.2,10.0,taxi
33,tree,maple,5.53,3.49,charge
34,bed,bedroom,3.4,6.22,sleeping place
35,roof,ceiling,7.58,4.5,architectural element
36,disease,infection,7.15,6.92,disease
37,arm,shoulder,4.85,6.57,anatomical region
38,sheep,lamb,8.42,8.19,domestic sheep
39,lady,gentleman,3.42,5.47,adult
40,boat,anchor,2.25,2.01,first-order metaclass
41,priest,monk,6.28,6.21,religious occupation
42,toe,finger,4.68,5.27,autopod region
43,river,stream,7.3,10.0,watercourse
44,anger,fury,8.73,3.36,psychology terminology
45,date,calendar,4.42,6.5,calendar date
46,sea,ocean,8.27,3.92,geographic location
47,second,minute,4.62,8.53,second
48,hand,thumb,3.88,8.22,hand
49,wood,log,7.3,5.23,tree
50,mud,dirt,7.32,2.56,base material
51,hallway,corridor,9.28,10.0,corridor
52,way,manner,7.62,10.0,means
53,mouse,cat,1.12,3.9,polyphyletic common name
54,cop,sheriff,9.05,6.9,law enforcement officer
55,death,burial,4.93,2.52,occurrence
56,music,melody,6.98,6.32,musical work
57,beer,alcohol,7.5,3.15,chemical substance
58,mouth,lip,7.1,5.86,subdivision of face
59,storm,hurricane,6.38,6.17,meteorological disaster
60,tax,income,2.38,2.02,academic discipline
61,flower,violet,6.95,1.74,anatomical structure
62,paper,cardboard,5.38,8.01,paper
