,wordone,wordtwo,mean,sim,LCS
0,tiger,cat,7.35,2.19,mammal
1,tiger,tiger,10.0,10.0,tiger
2,plane,car,5.77,1.39,mode of transport
3,train,car,6.31,3.13,motor vehicle
4,television,radio,6.77,1.78,communication device
5,media,radio,7.42,0.51,product
6,bread,butter,6.19,0.87,food
7,cucumber,potato,5.92,1.38,vegetable
8,doctor,nurse,7.0,3.24,health professional
9,professor,doctor,6.62,1.17,title of honor
10,student,professor,6.81,0.46,occupation
11,smart,stupid,5.81,0.39,album
12,wood,forest,7.73,10.0,forest
13,money,cash,9.15,10.0,money
14,king,queen,8.58,10.0,monarch
15,king,rook,5.92,3.23,chess terminology
16,bishop,rabbi,6.69,0.36,concept
17,fuck,sex,9.44,0.42,word
18,football,soccer,9.03,10.0,association football
19,football,basketball,6.81,1.72,ball
20,football,tennis,6.63,1.1,type of sport
21,Arafat,Jackson,2.5,0.38,family name
22,physics,chemistry,7.35,0.38,academic discipline
23,vodka,gin,8.46,1.86,liquor
24,vodka,brandy,8.13,1.97,liquor
25,car,automobile,8.94,10.0,car
26,gem,jewel,8.96,10.0,gemstone
27,journey,voyage,9.29,1.79,travel
28,boy,lad,8.83,10.0,boy
29,coast,shore,9.1,10.0,bank
30,asylum,madhouse,8.87,10.0,psychiatric hospital
31,magician,wizard,9.02,10.0,magician
32,midday,noon,9.29,10.0,noon
33,furnace,stove,8.79,0.49,construction
34,food,fruit,7.52,1.7,food
35,bird,cock,7.1,1.99,bird
36,bird,crane,7.38,0.41,equipment
37,food,rooster,4.42,0.85,organism
38,money,dollar,8.42,2.33,money
39,money,currency,9.04,9.49,money
40,tiger,jaguar,8.0,0.3,taxon
41,tiger,feline,8.0,0.29,concept
42,tiger,carnivore,7.08,4.56,carnivore
43,tiger,mammal,6.85,2.32,mammal
44,tiger,animal,7.0,0.36,taxon
45,tiger,organism,4.77,0.42,group of living things
46,tiger,fauna,5.62,0.33,group of living things
47,psychology,psychiatry,8.08,0.34,academic discipline
48,psychology,science,6.71,0.7,academic discipline
