,wordone,wordtwo,mean,sim,LCS
0,love,sex,6.77,0.34,psychology terminology
1,tiger,cat,7.35,0.52,class
2,tiger,tiger,10.0,10.0,tiger
3,book,paper,7.46,1.76,publication
4,computer,keyboard,7.62,0.97,input-output device
5,computer,internet,7.58,0.74,infrastructure
6,plane,car,5.77,0.82,mode of transport
7,train,car,6.31,0.87,mode of transport
8,telephone,communication,7.5,0.86,work
9,television,radio,6.77,1.84,communication device
10,media,radio,7.42,0.5,product
11,drug,abuse,6.85,0.48,philosophical concept
12,bread,butter,6.19,0.89,food
13,cucumber,potato,5.92,1.35,vegetable
14,doctor,nurse,7.0,1.87,health profession
15,professor,doctor,6.62,1.55,academic title
16,student,professor,6.81,0.61,occupation
17,smart,student,4.62,0.3,activity
18,smart,stupid,5.81,0.38,music term
19,company,stock,7.08,0.47,agent
20,stock,market,8.08,0.39,business
21,stock,phone,1.62,0.39,tool
22,stock,CD,1.31,0.33,list
23,stock,jaguar,0.92,0.3,class
24,stock,egg,1.81,0.66,food
25,fertility,egg,6.69,0.3,capability
26,stock,live,3.73,0.33,list
27,stock,life,0.92,0.34,organism
28,book,library,7.46,0.7,work
29,bank,money,8.12,0.8,economic branch
30,wood,forest,7.73,10.0,forest
31,money,cash,9.15,10.0,money
32,professor,cucumber,0.31,0.33,concept
33,king,cabbage,0.23,0.34,first-order metaclass
34,king,queen,8.58,10.0,monarch
35,king,rook,5.92,3.23,chess terminology
36,bishop,rabbi,6.69,0.35,concept
37,Jerusalem,Israel,8.46,0.65,state
38,Jerusalem,Palestinian,7.65,0.34,Wikimedia disambiguation page
39,holy,sex,1.62,0.34,Wikimedia disambiguation page
40,fuck,sex,9.44,0.32,entity
41,Maradona,football,8.62,0.41,Wikimedia disambiguation page
42,football,soccer,9.03,10.0,association football
43,football,basketball,6.81,1.76,ball
44,football,tennis,6.63,1.12,type of sport
45,tennis,racket,7.56,4.5,tennis
46,Arafat,peace,6.73,0.29,state
47,Arafat,terror,7.65,0.29,academic discipline
48,Arafat,Jackson,2.5,0.42,commune
49,law,lawyer,8.38,0.65,concept
50,movie,star,7.38,1.03,class
51,movie,popcorn,6.19,0.43,artificial physical object
52,movie,critic,6.73,0.47,Wikidata metaclass
53,movie,theater,7.92,0.65,entity
54,physics,proton,8.12,0.32,classification system
55,physics,chemistry,7.35,0.36,academic discipline
56,space,chemistry,4.88,0.6,type
