,wordone,wordtwo,mean,sim,LCS
0,love,sex,6.77,2.0,psychology terminology
1,tiger,cat,7.35,2.5,mammal
2,tiger,tiger,10.0,10.0,tiger
3,book,paper,7.46,2.5,publication
4,computer,keyboard,7.62,5.0,computer
5,computer,internet,7.58,1.67,infrastructure
6,plane,car,5.77,1.43,mode of transport
7,train,car,6.31,2.0,mode of transport
8,telephone,communication,7.5,2.0,work
9,television,radio,6.77,3.33,economic branch
10,media,radio,7.42,1.67,product
11,drug,abuse,6.85,1.25,philosophical concept
12,bread,butter,6.19,2.0,food
13,cucumber,potato,5.92,3.33,vegetable
14,doctor,nurse,7.0,2.5,health profession
15,professor,doctor,6.62,3.33,academic degree
16,student,professor,6.81,3.33,occupation
17,smart,student,4.62,2.5,human
18,smart,stupid,5.81,3.33,Wikimedia disambiguation page
19,company,stock,7.08,1.67,agent
20,stock,market,8.08,1.67,economic activity
21,stock,phone,1.62,2.0,tool
22,stock,CD,1.31,2.5,chemical compound
23,stock,jaguar,0.92,1.67,class
24,stock,egg,1.81,2.5,food
25,fertility,egg,6.69,1.43,capability
26,stock,live,3.73,1.43,artificial physical object
27,stock,life,0.92,2.0,organism
28,book,library,7.46,2.5,work
29,bank,money,8.12,2.0,economic branch
30,wood,forest,7.73,10.0,forest
31,money,cash,9.15,10.0,money
32,professor,cucumber,0.31,1.25,concept
33,king,cabbage,0.23,2.0,first-order metaclass
34,king,queen,8.58,10.0,monarch
35,king,rook,5.92,3.33,chess terminology
36,bishop,rabbi,6.69,2.0,concept
37,Jerusalem,Israel,8.46,3.33,Wikimedia disambiguation page
38,Jerusalem,Palestinian,7.65,3.33,Wikimedia disambiguation page
39,holy,sex,1.62,3.33,Wikimedia disambiguation page
40,fuck,sex,9.44,1.25,entity
41,Maradona,football,8.62,3.33,Wikimedia disambiguation page
42,football,soccer,9.03,10.0,association football
43,football,basketball,6.81,3.33,type of sport
44,football,tennis,6.63,3.33,type of sport
45,tennis,racket,7.56,5.0,tennis
46,Arafat,peace,6.73,1.67,property
47,Arafat,terror,7.65,1.43,academic discipline
48,Arafat,Jackson,2.5,3.33,family name
49,law,lawyer,8.38,1.67,first-order metaclass
50,movie,star,7.38,1.67,class
51,movie,popcorn,6.19,1.43,artificial physical object
52,movie,critic,6.73,1.67,Wikidata metaclass
53,movie,theater,7.92,2.0,genre
54,physics,proton,8.12,2.0,first-order metaclass
55,physics,chemistry,7.35,3.33,academic discipline
56,space,chemistry,4.88,1.43,metaclass
57,alcohol,chemistry,5.54,2.0,first-order metaclass
58,vodka,gin,8.46,3.33,liquor
59,vodka,brandy,8.13,2.5,liquor
60,drink,car,3.04,1.67,activity
61,drink,ear,1.31,1.0,anatomical structure
62,drink,mouth,5.96,2.5,food
63,drink,eat,6.87,3.33,food
64,baby,mother,7.85,2.0,human
65,drink,mother,2.65,1.43,Wikidata metaclass
66,car,automobile,8.94,5.0,motor car
67,gem,jewel,8.96,10.0,gemstone
68,journey,voyage,9.29,5.0,travel
69,boy,lad,8.83,10.0,boy
70,coast,shore,9.1,10.0,bank
71,asylum,madhouse,8.87,10.0,psychiatric hospital
72,magician,wizard,9.02,10.0,magician
73,midday,noon,9.29,10.0,noon
74,furnace,stove,8.79,2.5,construction
75,food,fruit,7.52,5.0,food
76,bird,cock,7.1,5.0,heraldic bird
77,bird,crane,7.38,1.67,equipment
78,tool,implement,6.46,10.0,tool
79,brother,monk,6.27,1.43,concept
80,crane,implement,2.69,3.33,tool
81,lad,brother,4.46,3.33,male human
82,journey,car,5.85,3.33,travel
83,monk,oracle,5.0,2.5,occupation
84,cemetery,woodland,2.08,1.67,geographic location
85,food,rooster,4.42,2.0,organism
86,coast,hill,4.38,3.33,landform
87,forest,graveyard,1.85,1.43,geographical object
88,shore,woodland,3.08,1.67,geographical object
89,monk,slave,0.92,2.5,rank
90,coast,forest,3.15,2.0,landform
91,lad,wizard,0.92,1.43,concept
92,chord,smile,0.54,1.0,concept
93,glass,magician,2.08,1.43,first-order metaclass
94,noon,string,0.54,1.67,concept
95,rooster,voyage,0.62,1.43,Wikidata metaclass
96,money,dollar,8.42,3.33,money
97,money,cash,9.08,10.0,money
98,money,currency,9.04,5.0,money
99,money,wealth,8.27,1.43,concept
100,money,property,7.57,2.5,goods
101,money,possession,7.29,2.5,goods
102,money,bank,8.5,2.0,economic branch
103,money,deposit,7.73,2.0,goods
104,money,withdrawal,6.88,1.67,occurrence
105,money,laundering,5.65,1.43,activity
106,money,operation,3.31,2.5,goods
107,tiger,jaguar,8.0,3.33,taxon
108,tiger,feline,8.0,1.25,concept
109,tiger,carnivore,7.08,1.43,group of living things
110,tiger,mammal,6.85,5.0,mammal
111,tiger,animal,7.0,3.33,taxon
112,tiger,organism,4.77,2.5,group of living things
113,tiger,fauna,5.62,2.0,group of living things
