k & noun_rg & noun_mc & noun_ws353 & noun_ws353-sim & noun_simlex \\

k=0.1  & 0.668  & 0.768  & 0.301  & 0.570  & 0.328 \\
k=0.2  & 0.729  & 0.827  & 0.337  & 0.575  & 0.348 \\
k=0.3  & 0.738  & 0.841  & 0.345  & 0.616  & 0.367 \\
k=0.4  & 0.743  & 0.833  & 0.342  & 0.633  & 0.367 \\
k=0.5  & 0.780  & 0.844  & 0.345  & 0.642  & 0.376 \\
k=0.6  & 0.794  & 0.862  & 0.346  & 0.652  & 0.390 \\
k=0.7  & 0.799  & 0.859  & 0.346  & 0.663  & 0.400 \\
k=0.8  & 0.802  & 0.876  & 0.344  & 0.672  & 0.409 \\
k=0.9  & 0.807  & 0.904  & 0.347  & 0.684  & 0.425 \\
k=1.0  & 0.799  & 0.908  & 0.330  & 0.645  & 0.415 \\

